,aa,lr,svm,knn,rf,text,gold,bert
100459,Evia,Λέσβος,Λέσβος,Λέσβος,Κύπρος,"Τι με μέλλει εμένα, για του Χατζιαλή τ' άρνια;",Θεσπρωτία,Θεσπρωτία
109640,Evia,Θράκη,Εύβοια,Ανατολική Θράκη,Ήπειρος,Ένα χρόνο κ' ένα μήνα έκαμ' ένα αδράχτι νήμα,Ανατολική Θράκη,Εύβοια
71246,Ioannina,Λέσβος,Λέσβος,Λέσβος,Λέσβος,Τι' κάν'ς Γιώργον; -Σκαντοχερία κάνου,Αιτωλία,Ιωάννινα
99588,Pontos,Πόντος,Πόντος,Κύπρος,Σκύρος,Άθρωπον το μαθάν' τσετίνεα απομαθάν',Πόντος,Πόντος
76332,Rodos,Ρόδος,Ρόδος,Ρόδος,Σκύρος,Τίσε μέλει που το πατσανά το χαψί γη λίον είναι γη πολύ;,Κάρπαθος,Κρήτη
21925,Epirus,Αμοργός,Αμοργός,Θράκη,Αμοργός,Εμπρός από τον διάβολον τρείς μέρες γεννημένος,Αμοργός,Αμοργός
52380,East Thrace,Μικρά Ασία,Ανατολική Θράκη,Λέσβος,Κρήτη,"Το κατσίκι έχει τη νουρά ψηλά και όταν πνιγή, τελευταία θα πνιγή η νουά του",Αχαΐα,Λακωνία
24786,Naxos,Αμοργός,Αμοργός,Αμοργός,Αμοργός,Όνειρον είδες που δεν ξεδιαλύνει,Αμοργός,Αμοργός
20448,Naxos,Αμοργός,Αμοργός,Αμοργός,Ιωάννινα,Ανάθεμα που πίστευγε στων αδερφιών τ' αμάχι,Αμοργός,Κεφαλληνία
71049,Rodos,Ιωάννινα,Ρόδος,Ήπειρος,Αιτωλία,Στου κασσιδιάρ' του κεφάλ' ούλοι μπαρμπέρ' δες βγαίνουν,Λακωνία,Ιωάννινα
38690,Achaia,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,"Εχάσαμε τα μάτια, θα φυλάξουμε τ΄ αφρύδια;",Αρκαδία,Ανατολική Θράκη
99461,Epirus,Ανατολική Θράκη,Ήπειρος,Ήπειρος,Ανατολική Θράκη,"Σε γύρευα με το κερί, σε βρήκα με τον ήλιο",Ιωάννινα,Ανατολική Θράκη
22087,Arcadia,Κρήτη,Κρήτη,Κρήτη,Σκύρος,Εσύ σαι δάσκαλος των δασκάλων,Αμοργός,Αμοργός
101843,Etolia,Λέσβος,Λέσβος,Αιτωλία,Ιωάννινα,Σα δε σ' αρέσ' πάρ' τ' βόλτα σου,Σκύρος,Σκύρος
116210,Asia Minor,Ανατολική Θράκη,Ανατολική Θράκη,Λακωνία,Ανατολική Θράκη,Τρώγω τη θάλασσα με το χουλιάρ',Μικρά Ασία,Θράκη
37270,Achaia,Αχαΐα,Αρκαδία,Κεφαλληνία,Αχαΐα,Το κάθε πράμα είναι στην αζά του,Ρόδος,Ανατολική Θράκη
23554,Evia,Σκύρος,Ρόδος,Ρόδος,Σκύρος,Με ξέναις έννοιες γερνάς,Αμοργός,Θράκη
76598,Crete,Αμοργός,Αμοργός,Κρήτη,Αμοργός,Μη πιστεύγης των εμμαντιών σου,Κάρπαθος,Αμοργός
48588,Heptanese,Ήπειρος,Αχαΐα,Επτάνησος,Αχαΐα,Η ζωή του κρέμεται σε μια κλωνά!,Αχαΐα,Αχαΐα
40464,Maced.,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Τον έβαλε να βγάλη τ' αναμμένα κάρβουνα από τη στάχτη,Αρκαδία,Ανατολική Θράκη
114392,Heptanese,Επτάνησος,Μακεδονία,Επτάνησος,Αμοργός,Νηστεύ' ο δούλος του Θεού;  Νηστεύ' όταν δεν έχη,Μακεδονία,Ανατολική Θράκη
87453,Rodos,Ρόδος,Ρόδος,Κεφαλληνία,Θράκη,Παλιός ο ράφτης μακρυά η κλωστή του,Λακωνία,Ρόδος
1418,East Thrace,Κύπρος,Ανατολική Θράκη,Κύπρος,Κύπρος,"Σ'ακά, σ'ακά, μπομ σ'ακά",Ήπειρος,Πόντος
15441,Crete,Νάξος,Νάξος,Νάξος,Νάξος,Η αμαρτία θάνατο 'εννά,Νάξος,Ήπειρος
13391,Rodos,Ρόδος,Ρόδος,Ρόδος,Ρόδος,"Του καιρού που 'διναν, τους σκύλλους με τα λουκάνικα",Ρόδος,Ρόδος
18929,Skyros,Σκύρος,Σκύρος,Κρήτη,Αμοργός,"Βούρλα μού δώνεις, ψαθί σού πλέκω",Νάξος,Κάρπαθος
109564,Evia,Ανατολική Θράκη,Ανατολική Θράκη,Νάξος,Αρκαδία,Δεν έχει πρόσωπο να πάγη,Ανατολική Θράκη,Ανατολική Θράκη
107223,Maced.,Λέσβος,Αιτωλία,Ανατολική Θράκη,Αιτωλία,“Διώξι μι γι θα σί διώξου” λέγ' η αράχνη,Λέσβος,Αιτωλία
109531,Epirus,Αμοργός,Αμοργός,Επτάνησος,Αμοργός,Γυρίζει σαν τον σβούρο,Ανατολική Θράκη,Αρκαδία
47310,Arcadia,Αρκαδία,Αρκαδία,Αρκαδία,Ιωάννινα,Γελάει ο μουρλός τ' αγέλαστα,Αχαΐα,Αρκαδία
69437,Etolia,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Είνι μι τόνα μέσ στου λάκκου,Αιτωλία,Αιτωλία
92798,Ioannina,Ιωάννινα,Ιωάννινα,Μικρά Ασία,Ιωάννινα,Στον πάτο ξυρίζ'ν το γαμπρό,Ιωάννινα,Ιωάννινα
57661,Cyprus,Λέσβος,Κύπρος,Κύπρος,Λέσβος,Η ρκά έτσι κατασείμονα τ' αγγούριν αθθυμήθην,Κύπρος,Κάρπαθος
57117,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Είδες φαείφ φάε. Είδες δουλειάφ φύε,Κύπρος,Κύπρος
40202,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,Τα μισά της χιλιάδας πεντακόσια είναι,Αρκαδία,Λακωνία
8386,Thrace,Θράκη,Θράκη,Θράκη,Θράκη,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,Ιωάννινα
61945,East Thrace,Ιωάννινα,Ιωάννινα,Ιωάννινα,Ιωάννινα,Πά' ν' αϊάσ' κι ξιπάϊασιν,Μακεδονία,Ιωάννινα
66362,Heptanese,Κεφαλληνία,Επτάνησος,Κρήτη,Κεφαλληνία,"Καλός, κακός ο γείτονας, για φωτιά χρειάζεται",Κεφαλληνία,Κεφαλληνία
79904,Kefalinia,Αιτωλία,Λέσβος,Επτάνησος,Αιτωλία,"Τ' ειν' η κάβουρας, τ' είν' του ζουμί του",Μικρά Ασία,Μακεδονία
84879,Kefalinia,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Καθένας για λόγο του κι ο Θεός για όλους,Λακωνία,Κεφαλληνία
79108,Karpathos,Κάρπαθος,Κάρπαθος,Λακωνία,Σκύρος,"Απού τηλ Λαμπρή τσαι πίσω, ζάχαρι θα σε ποτίσω",Κάρπαθος,Κάρπαθος
95306,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Καλόν σκαμνίν πη θήκ' για τ΄εκείνον θηκ' άτο,Πόντος,Πόντος
114240,Kefalinia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Καλόγηρος βαρβάτος πηδάει σα μαύρος γάτος,Μακεδονία,Αρκαδία
86478,Thesprotia,Θεσπρωτία,Θεσπρωτία,Κεφαλληνία,Θεσπρωτία,Ο μοναχός ούτε στην παράδεισο,Λακωνία,Θεσπρωτία
756,Lesvos,Αιτωλία,Αιτωλία,Λέσβος,Αιτωλία,Θα πιάσουμι τ' γάτα απ' τα νύχια,Λέσβος,Ιωάννινα
72510,Cyprus,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Α κάτα πινόντα νερέ μα θωρόντα τσαι το Θεέ,Μικρά Ασία,Κάρπαθος
5360,Kefalinia,Αιτωλία,Κεφαλληνία,Κεφαλληνία,Επτάνησος,Γαιδάρου μύθον έλεγαν κι εκειός τ' αυτιά του ετσούλωνε,Κεφαλληνία,Επτάνησος
66067,Evia,Λέσβος,Εύβοια,Λέσβος,Ιωάννινα,Η Μανώλης με τα λόγια κάν' ανώγεια κι κατώγεια,Λέσβος,Λέσβος
5930,Evia,Αχαΐα,Αχαΐα,Λέσβος,Εύβοια,Όταν ψάλλ' ο θειός τη θειά σου συ κατσούλωνε τ' αυτιά σ',Μικρά Ασία,Μικρά Ασία
11596,Laconia,Επτάνησος,Επτάνησος,Αχαΐα,Ρόδος,Του Μαρτιού τα σκοτεινά αν τα ιδής μη φοβηθής και αν τα ιδής και φοβηθείς εύρε τρύπα να κρυφτής,Λακωνία,Ανατολική Θράκη
41861,Crete,Εύβοια,Εύβοια,Αμοργός,Αμοργός,Όποιο χέρι κοψ' η κρίσι δεν πονεί,Ιωάννινα,Ιωάννινα
1295,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Κύπρος,Ηύρις διάουλουν να γιλάις,Ήπειρος,Ιωάννινα
59111,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Σίλια λόγια έναν άσπρον, τζαι πάλε κρίμα στ' άσπρο",Κύπρος,Κύπρος
40230,Cyprus,Ρόδος,Ρόδος,Αρκαδία,Θεσπρωτία,Τες πομπές τες δικές σου δεν τις βλέπεις,Αρκαδία,Αρκαδία
80207,Kefalinia,Κεφαλληνία,Κεφαλληνία,Ήπειρος,Θεσπρωτία,"Ξύλο, το κι΄ η βρισιά δε βγαίνουν στην πλησιά",Θεσπρωτία,Ιωάννινα
69232,Arcadia,Αρκαδία,Αρκαδία,Αρκαδία,Αιτωλία,Έβγανι τον σβέρκον,Αιτωλία,Ήπειρος
93346,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Ο ρεπέρης επήεν τογ Γεννάρην τζ' είεν τα σπαρμένα του, τζ'αί χωρίστην την γυναίκαν. Επήεν τομ Μάρτην τζ'αί πήρεν άλλην μιάν",Κύπρος,Κύπρος
74884,Heptanese,Αχαΐα,Αχαΐα,Λακωνία,Επτάνησος,"Όποιος προσκυνώντας κλαίει, μόνον ταις μετάνοιαις χάνει",Ήπειρος,Επτάνησος
76273,Thrace,Αμοργός,Θράκη,Αμοργός,Κύπρος,"Σ του κουφού την πόρταν, όσον θέλεις βρόντα",Κάρπαθος,Πόντος
70044,Thesprotia,Αιτωλία,Κύπρος,Κύπρος,Λέσβος,Μ' κίνει κουτσουπρυόβουλους,Αιτωλία,Ιωάννινα
100727,Arcadia,Ήπειρος,Αρκαδία,Κύπρος,Θράκη,Αγοραστό – λιμαστό,Σκύρος,Σκύρος
58884,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Πιάσ' τον τίτσιρον τζαι πάρ' τα ρούχα του,Κύπρος,Κύπρος
100284,Kefalinia,Μικρά Ασία,Αρκαδία,Επτάνησος,Μικρά Ασία,Όπως ήυρες νύφη όχι όπως ήξερες,Θεσπρωτία,Ιωάννινα
7695,Asia Minor,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Πάρ' τουν στου γάμου σ' να σπή κι τ' χρόν',Ήπειρος,Αιτωλία
52379,Arcadia,Μικρά Ασία,Αρκαδία,Αρκαδία,Αχαΐα,Το καρύδι φαίνεται απ' έξω γιερό! Ξέρεις τι έχει μέσα;,Αχαΐα,Αχαΐα
12046,Crete,Νάξος,Κρήτη,Αρκαδία,Νάξος,Για 'δε ούγια και πάρε πανί,Ρόδος,Κάρπαθος
43894,Naxos,Νάξος,Θεσπρωτία,Κρήτη,Λακωνία,Όλο ο γέρος στο κατάρτι,Επτάνησος,Αρκαδία
94743,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Ας σον Γιώρ' κέσ' τον Αέρ' πα ικράχ εποίκα,Πόντος,Πόντος
42933,Evia,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Στες εννιά έμαθέν το τζι' ο κουφός,Κύπρος,Κύπρος
78879,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Επτάνησος,Αρκαδία,Ο πώχει τη μύγα σκιάζεται,Μικρά Ασία,Ανατολική Θράκη
61479,Thesprotia,Αρκαδία,Επτάνησος,Επτάνησος,Λακωνία,Έχει μυαλό από φελλό,Αρκαδία,Θεσπρωτία
95182,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Η κορώνα 'ς σην Άσπρη θάλασσαν πα αν πάη τ' ωβά 'τ'ς μαύρα είν',Πόντος,Πόντος
116660,Crete,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Να ΄χαμε, κι ίντα να ΄χαμε; Σαράντ΄ αβγά σφουγγάτο, και μια χειρομυλόπιττα, σαν τ΄ αλωνιού τον πάτο",Κρήτη,Κεφαλληνία
117966,Thesprotia,Αιτωλία,Νάξος,Θεσπρωτία,Αχαΐα,Ζοράκι Χστός ανέστ,Θράκη,Θράκη
61349,Lesvos,Αιτωλία,Λέσβος,Αιτωλία,Αιτωλία,Πιο καλά να βγη του μάτ'ς πήρι τόνουμα σ',Λέσβος,Ιωάννινα
16470,Naxos,Νάξος,Νάξος,Ήπειρος,Νάξος,"Όποιος δεν έχει 'έρο, ναοράζη",Νάξος,Νάξος
95491,Kefalinia,Ιωάννινα,Κεφαλληνία,Πόντος,Ήπειρος,Ναμκιόρα κάτα,Πόντος,Ανατολική Θράκη
10163,Evia,Νάξος,Νάξος,Αχαΐα,Λέσβος,Ποιός σόβγανε του μάτ; Αδερφός σου. Γι΄αυτό είναι έτσι βαθιά,Εύβοια,Θράκη
91651,Etolia,Αιτωλία,Αιτωλία,Αιτωλία,Αιτωλία,Τουν γιλάει ου καθρέφτ'ς,Ιωάννινα,Ιωάννινα
76483,Heptanese,Λακωνία,Ρόδος,Λακωνία,Πόντος,Έφαε την εντροπήν με το κουτάλι,Κάρπαθος,Νάξος
55425,Kefalinia,Αχαΐα,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Σαν πεινας και δε νυστάζεις όσο θέλεις κουρκουμόσου,Κρήτη,Κεφαλληνία
27852,Arcadia,Μικρά Ασία,Αρκαδία,Μικρά Ασία,Ανατολική Θράκη,Όποιος έχει γένεια έχει και χτένια,Θεσπρωτία,Αρκαδία
17291,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Κάρπαθος,Το(ν) ξένο μες στο σπίτι σου για μάρτυρα τον έχεις,Νάξος,Ρόδος
59717,Naxos,Μακεδονία,Κρήτη,Νάξος,Επτάνησος,"Μικρά 'ναι τα παιδάκια μικρά τα βασανακια, μεγαλώνουν τα παιδάκια, μεγαλώνουν τα βασανακια",Εύβοια,Κεφαλληνία
55258,Achaia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Λακωνία,Ο πρώτος γάϊδαρος διατάσσει τον πισυνό,Κρήτη,Θράκη
73150,Crete,Θεσπρωτία,Κύπρος,Θεσπρωτία,Αιτωλία,Γίνεται του Κουτρούλη ο γάμος,Θράκη,Ήπειρος
109536,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Νάξος,Ανατολική Θράκη,Γω τόσα τον σκύλο μου κι ο σκύλος την ουρά του,Ανατολική Θράκη,Μικρά Ασία
105383,East Thrace,Αρκαδία,Μακεδονία,Ανατολική Θράκη,Νάξος,Αντάρα και σιαντάρα κατσιαχούρχουρη γαϊδάρα!,Αρκαδία,Αχαΐα
102223,Kefalinia,Σκύρος,Σκύρος,Εύβοια,Σκύρος,"Ως τ' Άη-Γιαννιού, τρζυγώνα, εν η φούρζα του χειμώνα",Σκύρος,Κύπρος
61086,Epirus,Ήπειρος,Ήπειρος,Ήπειρος,Ρόδος,"Βοήθα με, Άϊ Γεώργι μου! Σείσε και συ τον κώλο σου κομμάτι",Ρόδος,Αρκαδία
69660,Ioannina,Ήπειρος,Ιωάννινα,Κύπρος,Πόντος,Θα βρέξ' κώλον για να φας ψάρ',Αιτωλία,Ιωάννινα
41642,Naxos,Αμοργός,Νάξος,Αμοργός,Κύπρος,Εις τόπον αδιαφόρετον ποτέ πολύ μην κάτζης,Ιωάννινα,Αμοργός
30135,Rodos,Μικρά Ασία,Εύβοια,Θράκη,Θράκη,Ακλουθόντας διάβαινε,Επτάνησος,Κρήτη
109578,Kefalinia,Θράκη,Θράκη,Πόντος,Αμοργός,Δεν πατεί στη γη,Ανατολική Θράκη,Ανατολική Θράκη
52192,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Μικρά Ασία,Αχαΐα,"Τι Γιάννης, τι Γιαννάκης!",Αχαΐα,Αχαΐα
102038,East Thrace,Λέσβος,Σκύρος,Σκύρος,Πόντος,"Τι εν' ο κάβουρας, τι εν' η μα'εργιά του;",Σκύρος,Επτάνησος
115954,Maced.,Λέσβος,Μακεδονία,Αιτωλία,Αιτωλία,Αυτός έχ' γινάτ' τση καμήλας,Μικρά Ασία,Αιτωλία
899,Lesvos,Λέσβος,Λέσβος,Λέσβος,Αιτωλία,Σα ντρέπισι να βάλς ένα κόσινου μπρουστά σ',Λέσβος,Ιωάννινα
5344,Heptanese,Θεσπρωτία,Ανατολική Θράκη,Επτάνησος,Θεσπρωτία,Από τίποτε καλό 'ν' και το χαλάζι,Κεφαλληνία,Κεφαλληνία
51559,Ioannina,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Πολίτης αγαθός και άδικος δεν γίνεται,Αχαΐα,Θεσπρωτία
79218,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Λέσβος,"Μήε σου Παπά κουτσιά, μη΄έγιω δρααρικά",Κάρπαθος,Κάρπαθος
27186,Amorgos,Νάξος,Αμοργός,Αμοργός,Νάξος,Τώρα οι άνθρωποι 'ναι με δυό μούρες,Αμοργός,Ανατολική Θράκη
109968,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Κολοκύθι έφαγες;,Ανατολική Θράκη,Ανατολική Θράκη
30546,Heptanese,Επτάνησος,Επτάνησος,Λέσβος,Αμοργός,Από λόγον το λόγο,Επτάνησος,Αμοργός
12623,Karpathos,Ρόδος,Κάρπαθος,Ρόδος,Νάξος,Μη πολλοχαδεύγεσαι και του χαδγιού δεν είσαι για τι 'σαι που τη γειτονιά και ξέρω τίνος είσαι,Ρόδος,Ρόδος
50156,Achaia,Αχαΐα,Αχαΐα,Εύβοια,Αχαΐα,Ο βουβαλοκλέφτης την ημέρα σκιάζεται τα βουβάλια και τη νύχτα τα καβαλικεύει και φεύγει!,Αχαΐα,Αχαΐα
76813,Achaia,Αχαΐα,Αχαΐα,Κεφαλληνία,Αρκαδία,Η χελώνα τα παιδιά της αγγελόπουλα τα κράζει,Κεφαλληνία,Αχαΐα
59312,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Τζείνος πόγ κρατεί τηγ γλώσσαν του, μηδέ τογ κώλον του",Κύπρος,Κύπρος
12613,Crete,Ρόδος,Ρόδος,Ανατολική Θράκη,Πόντος,"Μεγάλη μπουκκιά φάε, μεγάλο λόον μην 'πης",Ρόδος,Ρόδος
3441,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Η μάννα εν γλυκίν κρασίν έμνοσιον παξιμάντιν που πίνει άτο ξα κι μεθά που τρώγει α κι χορτάζει,Πόντος,Πόντος
12263,Laconia,Πόντος,Νάξος,Πόντος,Πόντος,Επέταξεν ο Κολιανός κι' επήρε και το ράμμα,Ρόδος,Κάρπαθος
59215,Cyprus,Λέσβος,Κύπρος,Λέσβος,Κύπρος,Τα λόγια ελ λόγια. Τα μακαρούνια έχουφ φαείν,Κύπρος,Κύπρος
106848,Asia Minor,Θράκη,Κάρπαθος,Κάρπαθος,Θράκη,Θα κάμης μια τρύπα στο 'ς το νερό,Θράκη,Θράκη
22062,Skyros,Ανατολική Θράκη,Μικρά Ασία,Κεφαλληνία,Μικρά Ασία,Εραιώθη με τα ρούχα του,Αμοργός,Μικρά Ασία
38331,Crete,Αρκαδία,Λακωνία,Λακωνία,Αμοργός,Δεν τον άφησε σε χλωρό κλαρί,Αρκαδία,Αρκαδία
783,Kefalinia,Λέσβος,Κύπρος,Λέσβος,Λέσβος,Λόγια ναστρατίνκα,Λέσβος,Μικρά Ασία
79414,Ioannina,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Τσηπουρέ τσ' αμπελουργέ μου, μήνας είτ' το διώμα σου!",Κάρπαθος,Νάξος
92612,Amorgos,Επτάνησος,Ήπειρος,Ανατολική Θράκη,Ρόδος,"Μάτια σου, πραμάτεια σου, ν' άνοιγες τα μάτια σου",Θεσπρωτία,Αμοργός
13590,Cyprus,Κύπρος,Κύπρος,Κάρπαθος,Κύπρος,"Γαμεί η αλιντζαύρα τον λα(γ)όν, γιατ' εν ο γέρακας ποπάνω",Κύπρος,Κάρπαθος
42585,Epirus,Ήπειρος,Ήπειρος,Θεσπρωτία,Κρήτη,"Όλα μας ανάποδα, κι ο γάμος μας τετάρτια",Κεφαλληνία,Κεφαλληνία
97801,Rodos,Αχαΐα,Αχαΐα,Αχαΐα,Λακωνία,Όποιος έχει γιον στο βουνί πάντα ξύλα καρταρεί,Εύβοια,Ρόδος
98867,Amorgos,Μικρά Ασία,Αμοργός,Ήπειρος,Λέσβος,Απ' όξω μπέλλα – μπέλλα κι από μέσα κατσιβέλλα,Ιωάννινα,Αρκαδία
41585,Laconia,Κεφαλληνία,Πόντος,Αμοργός,Κεφαλληνία,"Δανεικό ν', κυρά, τ' αλεύρι, δανεικό ν' και το προζύμι",Ιωάννινα,Κεφαλληνία
100171,Arcadia,Αμοργός,Θεσπρωτία,Αχαΐα,Αμοργός,Μην μας τον πολυπαινεύεις και βράδυ τον βλέπομε,Θεσπρωτία,Αμοργός
88686,Achaia,Θεσπρωτία,Αχαΐα,Αχαΐα,Λακωνία,Της καλομάνας το παιδί το πρώτο νάν αρσενικό,Λακωνία,Αχαΐα
80279,Thesprotia,Μικρά Ασία,Ήπειρος,Θεσπρωτία,Λέσβος,"Πικρά μαντάτα του γαμπρού, η νύφη κατσιδιάρα",Θεσπρωτία,Λακωνία
68488,Naxos,Μακεδονία,Μακεδονία,Κύπρος,Ανατολική Θράκη,"Τση γριάς τον έπαινο, η ανηφοριά τον δείχνει",Κεφαλληνία,Κεφαλληνία
34283,Thesprotia,Επτάνησος,Επτάνησος,Επτάνησος,Επτάνησος,"Οποίος σπέρνει βάσανα, αγγούσαις θα θερίση",Επτάνησος,Ιωάννινα
38165,Ioannina,Εύβοια,Κρήτη,Λακωνία,Αρκαδία,Βρεμένο γύρισμα αμπειριού γέμισμα,Αρκαδία,Κεφαλληνία
118604,Thrace,Λέσβος,Ιωάννινα,Θράκη,Αιτωλία,"Σα δεν έγιναμ' νύφες, κάνεμι είδαμ' πέ τις τρύπες",Θράκη,Θράκη
114738,Evia,Εύβοια,Εύβοια,Αμοργός,Αμοργός,"Σαν το μπόϊ μου βρήκα, σαν τη γνώμη μου δε βρήκα",Μακεδονία,Ανατολική Θράκη
19717,Cyprus,Κύπρος,Κύπρος,Ήπειρος,Κύπρος,"Άφησε που ψόφησε το γομάρι μας, τι τζαπ δεν, εις τον κόσμον;",Μακεδονία,Ρόδος
117957,Epirus,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Είχαμε ένα τσ΄βάλι σκατά, μας έφεραν και μια δεσάκκα",Θράκη,Σκύρος
58290,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Ο ήλιος γεννιέται για ούλλον τον κόσμον, τζαί για ούλλον τον κόσμον λάμπει",Κύπρος,Κύπρος
116357,Thesprotia,Κεφαλληνία,Θεσπρωτία,Μικρά Ασία,Κεφαλληνία,"Αδικιάς καρπός σπαρμένος, κι' α φυτρώση δε σταχυάζει",Κρήτη,Κεφαλληνία
37526,Heptanese,Ρόδος,Αρκαδία,Επτάνησος,Ρόδος,"Όπου λαλούνε πολλοί πετεινοί, αργεί να ξημερώσει",Εύβοια,Κεφαλληνία
91202,Ioannina,Αιτωλία,Λέσβος,Λέσβος,Αιτωλία,Να σι 'δώ του Μάη μι γούνα κι τουν Αύγουστου μι σιγκούνα,Ιωάννινα,Αιτωλία
31204,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Ανατολική Θράκη,"Θε να πάη στον πόλεμο, για να κάμη πλιάτσικα",Επτάνησος,Κεφαλληνία
111246,Maced.,Αιτωλία,Αιτωλία,Εύβοια,Σκύρος,Σ' πήϊ (πάει) πέντι πέντι,Αιτωλία,Θεσπρωτία
99314,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Αμοργός,Όλες οι μυίγες δεν κάνουν μέλ΄,Ιωάννινα,Ιωάννινα
