,aa,lr,svm,knn,rf,text,gold,bert
100036,Laconia,Κρήτη,Θράκη,Κρήτη,Κρήτη,"Ζίτσα και Καρίτσα, Ψυχή μου Ραδοτόβι...Νάτανε και η Ζέλοβα πουτανοχώρι...",Θεσπρωτία,Κρήτη
83175,Kefalinia,Ρόδος,Ρόδος,Αχαΐα,Αμοργός,Δυο χρονών το παιδί μας κι' έλεγε τον λύχνο μύχο,Λακωνία,Ανατολική Θράκη
51109,Epirus,Θεσπρωτία,Μακεδονία,Αιτωλία,Κύπρος,"Όταν ο κασσιδιάρης κάμη μαλλιά, χάμου δέμ πατάει",Αχαΐα,Αχαΐα
43583,Kefalinia,Λακωνία,Κεφαλληνία,Κεφαλληνία,Κύπρος,Κάλλιο το σκεπασμένο τζουκάλι παρά το ξέσκεπο,Επτάνησος,Κεφαλληνία
5399,Epirus,Επτάνησος,Ήπειρος,Επτάνησος,Αρκαδία,Έχει ο αφέντης αφέντη,Κεφαλληνία,Λακωνία
105506,Thrace,Αμοργός,Αμοργός,Αμοργός,Αμοργός,Τον άφηκεν γρούλιον,Αρκαδία,Αμοργός
55167,East Thrace,Αμοργός,Ανατολική Θράκη,Αιτωλία,Ανατολική Θράκη,"Με την αράδα σου θα πάς, αν είσαι και παπάς",Κρήτη,Ανατολική Θράκη
38358,Evia,Εύβοια,Εύβοια,Λακωνία,Εύβοια,Δός μου αγέρα καί μέτρα μίλια,Αρκαδία,Αμοργός
100152,Laconia,Λακωνία,Λακωνία,Λακωνία,Θεσπρωτία,Λέγε – λέγε το κοπέλι κάνει την κυρά και θέλει,Θεσπρωτία,Θεσπρωτία
11951,Rodos,Ρόδος,Ρόδος,Αμοργός,Κύπρος,"Απήανο κι αλάβανο κι άλλον εν βοτάνο, να το 'ξέραν οι κοπέλες ποτέ κακό δεν επαθθαίναν",Ρόδος,Ρόδος
39091,Naxos,Νάξος,Νάξος,Νάξος,Αρκαδία,Κατά που βλέπεις μαθάνεις,Αρκαδία,Νάξος
21514,Heptanese,Επτάνησος,Επτάνησος,Αμοργός,Αχαΐα,"Ένας, καένας!",Αμοργός,Σκύρος
81575,Epirus,Ήπειρος,Ήπειρος,Ήπειρος,Αιτωλία,Κάλλια τ' αρχίδια του γαμβρού παρά τα μάτια του παιδιού,Ήπειρος,Ιωάννινα
41266,Thesprotia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Αιτωλία,Ο φαγάς στην ώρα του κι ακριβός ούτε καθόλου,Νάξος,Αχαΐα
46802,Arcadia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Αυτός είναι για τον άλυσο,Αχαΐα,Αχαΐα
63439,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Κάνεις το λογαριασμό χωρίς τον ξενοδόχο,Κρήτη,Ανατολική Θράκη
96746,Epirus,Μακεδονία,Μακεδονία,Μακεδονία,Λέσβος,"Ποιός έχ' τη μύγα, μυγιάζιτι",Μακεδονία,Σκύρος
86533,Cyprus,Κάρπαθος,Κάρπαθος,Αρκαδία,Ρόδος,"Ο πλούσιος που παρακαλεί τό θεό, κακό έχει ς το νου του",Λακωνία,Κεφαλληνία
109880,Thrace,Θράκη,Αμοργός,Εύβοια,Θράκη,Κάνει τον άγιο Ονούφριο,Ανατολική Θράκη,Θράκη
46831,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Αυτός είναι Ιούδας ο προδόττης και δόλιος,Αχαΐα,Αχαΐα
48595,Epirus,Ήπειρος,Λέσβος,Ιωάννινα,Νάξος,Η Θοδωρούλα 'σήκωσε κόκκινο μπαϊράκι,Αχαΐα,Αχαΐα
105722,Laconia,Λακωνία,Λακωνία,Κεφαλληνία,Αρκαδία,Ε καλά μόσκασε η κοιλιά,Ήπειρος,Εύβοια
106458,Achaia,Κεφαλληνία,Θεσπρωτία,Επτάνησος,Λέσβος,Μας πουλάει όλους για μισού παρά λεμπεμπλιά,Αρκαδία,Θράκη
114835,Thesprotia,Κεφαλληνία,Κρήτη,Κεφαλληνία,Αρκαδία,Το μεθυσμένο μη σκουντάς θα πέση μοναχός του,Μακεδονία,Λακωνία
48678,Kefalinia,Αρκαδία,Αρκαδία,Κεφαλληνία,Αχαΐα,Η παντρειά είναι σκλαβιά!,Αχαΐα,Αχαΐα
109624,Heptanese,Κάρπαθος,Κάρπαθος,Κεφαλληνία,Κεφαλληνία,Έκαμε κουμπάρα τή δουλειά,Ανατολική Θράκη,Αρκαδία
34120,Evia,Εύβοια,Επτάνησος,Επτάνησος,Σκύρος,Οι κουτοί βαστούνε τσου έξυπνους,Επτάνησος,Κεφαλληνία
61328,Asia Minor,Αιτωλία,Σκύρος,Κύπρος,Λέσβος,Άθριπους αγράμματους ξύλου απελέτσητου,Λέσβος,Λέσβος
4184,Thrace,Θράκη,Κάρπαθος,Μικρά Ασία,Αρκαδία,Τοξώνω τηρ ράσιαν,Πόντος,Κύπρος
18095,Arcadia,Νάξος,Εύβοια,Εύβοια,Νάξος,Ένα χρόνο κι' ένα μήνα έγνεθ' ένα 'δράχτι νήμα τι 'βανε και στο ραφάκι το 'φαγε τι ποντικάκι,Θράκη,Λακωνία
58717,Ioannina,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Οι πόρτες εγ για ναβ βαδωμένες, τζαι τα παραθύρκα ανοιχτά",Κύπρος,Κύπρος
68784,Kefalinia,Λέσβος,Λέσβος,Σκύρος,Αιτωλία,Απ' τα ίδια πάστα είνι,Αιτωλία,Αιτωλία
15406,Rodos,Νάξος,Νάξος,Λακωνία,Θεσπρωτία,"Εώ σου λέω να κάμης χίλια πρόβατα (ή: ζα), εσύ δεν θες; ... νοργιά (ή: τρίχα) (ή: τρίχα να μην απολάψης)",Νάξος,Νάξος
63233,Laconia,Νάξος,Νάξος,Νάξος,Νάξος,Η ζούλια νά 'τανε ψώρα θα κολλούσεν όλη η χώρα,Μικρά Ασία,Αμοργός
55696,Crete,Σκύρος,Σκύρος,Θεσπρωτία,Σκύρος,Άνεμος στα πίσω σου τσαί δαυλός στον κώλο σου,Κύπρος,Κάρπαθος
106049,Epirus,Θράκη,Θράκη,Επτάνησος,Πόντος,Σάματ θά να βγάνω το χσό το δόντι,Ήπειρος,Εύβοια
67416,Thesprotia,Ανατολική Θράκη,Θεσπρωτία,Ανατολική Θράκη,Θεσπρωτία,"Πάντρεψέ με μακριά, να ξέρω να παινιώμαι",Κεφαλληνία,Θεσπρωτία
15876,Naxos,Νάξος,Νάξος,Νάξος,Νάξος,Κι' εσύ κακό χειρόβολο κι' εω κακό δεμάτι,Νάξος,Νάξος
840,Lesvos,Λέσβος,Λέσβος,Μικρά Ασία,Λέσβος,"Όποιος δεν έχ' γέρου, γέρουν αγοράζ'",Λέσβος,Ιωάννινα
106511,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Αρκαδία,Ο παππάς παππά δε θέλει,Αρκαδία,Εύβοια
1450,Lesvos,Ιωάννινα,Επτάνησος,Ιωάννινα,Ιωάννινα,Τα ήθελες κι τα ήθελα,Ήπειρος,Μικρά Ασία
76460,Etolia,Αρκαδία,Αιτωλία,Αιτωλία,Αρκαδία,Δεν έχει κούνναν μυαλόν,Κάρπαθος,Αμοργός
100070,East Thrace,Ανατολική Θράκη,Ανατολική Θράκη,Ήπειρος,Αρκαδία,Κάθε μέρα Πασχαλιά;,Θεσπρωτία,Ανατολική Θράκη
11902,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Αρκαδία,Αγέρα κοπανίζει,Ρόδος,Ιωάννινα
96972,Asia Minor,Θράκη,Μικρά Ασία,Κύπρος,Κύπρος,"Παλαμίδα σε μυρίζει, ντειμεντέν να φας κολοιό",Θράκη,Μικρά Ασία
69359,Etolia,Αιτωλία,Αιτωλία,Λέσβος,Αιτωλία,Έχου πουλλά μαζουμένα,Αιτωλία,Ιωάννινα
76677,Arcadia,Ρόδος,Κάρπαθος,Επτάνησος,Κάρπαθος,Ως τα που να 'σαι λεύτερη θ' αστράφτουν οι ποδιές σου να παντρευτής να γκαστρωθείς να (δ)ω τις ομορφιές σου,Κάρπαθος,Ρόδος
101064,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Έπαν του τρελλού να χέσει τσ' έκατσε τσαί ξεκολώθη!,Σκύρος,Σκύρος
8690,Cyprus,Κύπρος,Κύπρος,Κύπρος,Ανατολική Θράκη,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,Αμοργός
111214,Thesprotia,Αιτωλία,Ρόδος,Μακεδονία,Αιτωλία,Μι γκάστρουσις,Αιτωλία,Αιτωλία
41589,Thesprotia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Λέσβος,"Δεμένος γαϊδαρος, αναπαμένος νοικοκύρης",Ιωάννινα,Ανατολική Θράκη
67483,Laconia,Κρήτη,Λακωνία,Λακωνία,Λακωνία,"Περσότερες μύγες πιάνεις με το μέλι, παρά με το ξίδι",Κεφαλληνία,Ανατολική Θράκη
106096,Thesprotia,Σκύρος,Σκύρος,Νάξος,Λακωνία,Τι κάνεις; - Αποκάνει,Ήπειρος,Κρήτη
29598,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Λέσβος,Άλλαις χαραίς δεν του μειναν όξ' απ' τση ξέναις πίκραις,Επτάνησος,Επτάνησος
51661,Laconia,Νάξος,Λακωνία,Νάξος,Λακωνία,Ρίξε μου να σου ρίξω: λέει η κόττα!,Αχαΐα,Λακωνία
94619,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,"Αν εν, Χριστός ανέστη, αν 'κ' εν, θάνατον πατήσας",Πόντος,Μικρά Ασία
110654,Etolia,Αρκαδία,Αρκαδία,Αρκαδία,Αρκαδία,Τα έκαμε γυαλιά – καρφιά,Ανατολική Θράκη,Αρκαδία
46862,Naxos,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,Αυτός είναι λειψός,Αχαΐα,Αχαΐα
83628,Achaia,Λακωνία,Λακωνία,Λακωνία,Αμοργός,Έχει τον παρά και κουβεντιάζει,Λακωνία,Ήπειρος
25141,East Thrace,Νάξος,Αμοργός,Αμοργός,Νάξος,"Οσά ΄χει κανείς, τόσα και ξοδεύγει",Αμοργός,Νάξος
75840,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Κάρπαθος,"Ήρταν οι κριοί, να ΄βγάλουν τα πρού(β)ατα",Κάρπαθος,Κάρπαθος
41275,Amorgos,Αμοργός,Αμοργός,Αμοργός,Αιτωλία,"Όποιος γέρος δεν κρατεί, θέλει δέκα μέσ' αυτή",Νάξος,Επτάνησος
63839,Kefalinia,Εύβοια,Μικρά Ασία,Κεφαλληνία,Κεφαλληνία,"Ξένο άλογο κάνεις καβάλλα, γλήγορα ξεκαβαλικεύεις",Κρήτη,Κεφαλληνία
10445,Skyros,Σκύρος,Αρκαδία,Σκύρος,Λέσβος,Τα άσπρα για τις μαύρες μέρες,Θράκη,Αρκαδία
107233,Etolia,Αιτωλία,Αιτωλία,Πόντος,Λέσβος,Ιγώ π' έπαθα ξέρου,Λέσβος,Ιωάννινα
107070,Laconia,Αρκαδία,Λακωνία,Λακωνία,Λακωνία,Πότε Πάσχα και πότε Φάσκα,Θράκη,Λακωνία
44246,Evia,Εύβοια,Θεσπρωτία,Εύβοια,Μικρά Ασία,Τί λες; Βρήκ' η νύφη του υνί πίσου που την πόρτα;,Μακεδονία,Εύβοια
116394,Epirus,Νάξος,Κρήτη,Αχαΐα,Ρόδος,"Απου 'χει πράμα έχει το, κι' απου το βλέπει, τρώει το",Κρήτη,Κρήτη
67287,Kefalinia,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,Κεφαλληνία,"Ότα διψά η αυλή σου για νερό, παρόξου μην το χύνης",Κεφαλληνία,Κεφαλληνία
15422,Thesprotia,Νάξος,Ανατολική Θράκη,Ανατολική Θράκη,Αχαΐα,Ζόρι ζορινά Χριστός ανέστη,Νάξος,Θράκη
59720,Kefalinia,Κεφαλληνία,Κεφαλληνία,Πόντος,Κρήτη,Ξένο άλογο καλλίκεψες; Μεσοστρατίς θα μείνης,Εύβοια,Εύβοια
8881,East Thrace,Πόντος,Λέσβος,Λέσβος,Πόντος,"Δεν φταν' τ' σκοντάφτς, ύστερα σι λεν κ' τύφλα",Μακεδονία,Μακεδονία
66384,Heptanese,Επτάνησος,Ρόδος,Επτάνησος,Επτάνησος,"Καρδάκης ο περήφανος, Πετρικός πέτρα αγροίκητη, ο Νυφιώτης παλληκάρι, Αγκωνιάτης προσκυνώ ... κι ο Αθεριάνος είν' θεριό",Κεφαλληνία,Κρήτη
42825,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,Έκαμέν τα άνεμον τζαί καπνον,Κύπρος,Κύπρος
63540,Maced.,Μακεδονία,Μακεδονία,Μακεδονία,Μακεδονία,Κίνησεν ο Οβριός και βρέθηκεν Σαββάτο,Μικρά Ασία,Μακεδονία
41490,Crete,Ιωάννινα,Κρήτη,Επτάνησος,Ιωάννινα,Άλλο ν' το ιδής κι άλλο ν' τ' ακούσης,Ιωάννινα,Αμοργός
35948,Thrace,Κεφαλληνία,Κρήτη,Κεφαλληνία,Κρήτη,"Τί τα θές τ' αλλοιότικα, παρά για να ζουρλαίνεσαι",Επτάνησος,Κεφαλληνία
43391,Evia,Μακεδονία,Λακωνία,Μακεδονία,Πόντος,Εγλυκάθη η γραία στα σύκα κι' όλ' ημέρα τ' αναζητά,Επτάνησος,Κρήτη
590,Asia Minor,Μικρά Ασία,Μικρά Ασία,Νάξος,Μικρά Ασία,Τον αράπη κι αν λευχάνης το σαπούνι σου το χάνεις,Εύβοια,Μικρά Ασία
75942,Maced.,Κάρπαθος,Κάρπαθος,Αρκαδία,Κάρπαθος,Κατά τα σα(γ)όνια και τα γένεια,Κάρπαθος,Κάρπαθος
77651,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Εχτάλειψεν ο πετεινόν κ' εύρεν τη γούλασ ατ το μαχαίρ,Πόντος,Πόντος
69703,Thrace,Αιτωλία,Αιτωλία,Μακεδονία,Αιτωλία,Θα τουν κάμου γω να με γλέπ' κι να φεύγ' σαράντα σύνορα,Αιτωλία,Αιτωλία
56561,Cyprus,Σκύρος,Κύπρος,Σκύρος,Ιωάννινα,Αρφός τ' αρφού βοήθκεια,Κύπρος,Εύβοια
59713,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Αμοργός,Μάτια δεν έχει δάκρυα ΄πό που θα βγούνε;,Εύβοια,Κεφαλληνία
102107,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Τόνα τ' ποδάρζι έναι μες στο λάκκο,Σκύρος,Σκύρος
27682,Thesprotia,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Θεσπρωτία,Κι η πίττα σωστή κι ο σκύλλος χορτάτος,Θεσπρωτία,Θεσπρωτία
110720,Heptanese,Πόντος,Επτάνησος,Αμοργός,Πόντος,"Τι καλόν ή τι τερπνόν, ή το κατοικείν αδελφούς επί ταύτω;",Ανατολική Θράκη,Επτάνησος
100000,Epirus,Ήπειρος,Ήπειρος,Πόντος,Πόντος,Έναν τον έπαιρνε το ποτάμι κι' άλλος τούλεγε: Άσπρον κώλο πώχεις στάσ' να σε γαμήσω,Θεσπρωτία,Ήπειρος
80011,Ioannina,Αρκαδία,Κύπρος,Κύπρος,Θεσπρωτία,Αγώι (τ') ξυπνάει τον αγωγιάτη,Θεσπρωτία,Νάξος
51608,Achaia,Αχαΐα,Αχαΐα,Αχαΐα,Αχαΐα,"Πουλιέται η γκαμήλα για ένα γρόσι, που 'ν' το γρόσι!",Αχαΐα,Αχαΐα
19753,Laconia,Κρήτη,Θεσπρωτία,Μικρά Ασία,Ρόδος,"Έχει ο Θεός, αλλά έχει και πολλά παιδιά",Μακεδονία,Μακεδονία
50184,Evia,Εύβοια,Εύβοια,Λακωνία,Θεσπρωτία,Ο γραμματισμένος φαίνεται απ' το γράψιμο του,Αχαΐα,Αχαΐα
98084,Rodos,Σκύρος,Ρόδος,Σκύρος,Σκύρος,"Που καή στη φάτση, φυσά τσαι τον αξύαλο",Ρόδος,Εύβοια
78050,Pontos,Πόντος,Πόντος,Πόντος,Πόντος,Κα θα έναν αιγίδ ας σο πατσάγ κρεμάν ατό,Πόντος,Πόντος
68157,Asia Minor,Ιωάννινα,Μικρά Ασία,Ρόδος,Αιτωλία,Το Μάρτη βάλ' αργάτες κι' ασ' τους να ψυλλίζωνται,Κεφαλληνία,Ρόδος
18906,Heptanese,Αχαΐα,Νάξος,Νάξος,Κρήτη,Αν ήκουε ο Θεός των κουρουνώ δε θα ΄μενε γάδαρος στο βουνό!,Αμοργός,Αχαΐα
29929,Naxos,Νάξος,Επτάνησος,Νάξος,Αχαΐα,Άχερα θα λες και τρων οι άλλοι!,Επτάνησος,Επτάνησος
26630,East Thrace,Ρόδος,Ρόδος,Ρόδος,Νάξος,Το βελουδένιο πάπλωμα θέλει κι οξύ σεντόνι και μαξιλαρια κεντητά και κόρην κρυσταλλένια,Αμοργός,Αμοργός
102221,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Ως να σ'κωσ' τονα τ' ποδάρζι, βρωμά τ' άλλο!",Σκύρος,Σκύρος
56288,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Αμ μεν αρκήση στογ γιαλόν, εγ κάμν' η πέτρα ρίζες",Κύπρος,Κύπρος
42494,Thrace,Θράκη,Θράκη,Ανατολική Θράκη,Θράκη,Από το παστό στο λουκάνικο,Κεφαλληνία,Ήπειρος
909,Lesvos,Λέσβος,Λέσβος,Λέσβος,Λέσβος,"Σκάς αυγό, για χύνισι;",Λέσβος,Λέσβος
100852,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,"Βαθά μ' η νύχτα τσ' η γιαυγή, σα νάχου μάννα τσ' αδερφή",Σκύρος,Σκύρος
12672,Rodos,Ρόδος,Ρόδος,Ρόδος,Ρόδος,"Νά λείπαν τά πιπέρια μου, νά 'δώ τές μαειριές σου",Ρόδος,Ρόδος
54898,Amorgos,Κάρπαθος,Κεφαλληνία,Κάρπαθος,Επτάνησος,Βρωμεί δε βρωμεί ο δάχτυλός σου δικός σου είναι,Κρήτη,Ιωάννινα
80027,Skyros,Σκύρος,Σκύρος,Μικρά Ασία,Ανατολική Θράκη,"Αν θες καλά ν' ακούς, μάθε καλά να λέγης",Θεσπρωτία,Αμοργός
116525,Ioannina,Κρήτη,Κρήτη,Νάξος,Κρήτη,Ήκαμε την αμπελική ντου,Κρήτη,Κρήτη
38927,Achaia,Αρκαδία,Αχαΐα,Αρκαδία,Αρκαδία,Κάθε μουρλός έχει τη γνώσι του,Αρκαδία,Αρκαδία
91128,Asia Minor,Αιτωλία,Εύβοια,Μικρά Ασία,Αιτωλία,Μάννα μ' αντρειουμένους που 'ταν,Ιωάννινα,Ρόδος
3562,Pontos,Πόντος,Πόντος,Κύπρος,Πόντος,Κωδώνιν λαλίαν έσει,Πόντος,Πόντος
65996,Evia,Κρήτη,Κρήτη,Κρήτη,Ιωάννινα,Η γέρος διμονίζεται κι' η γ'γιά πηδά τα κάρ'να,Λέσβος,Ιωάννινα
85683,Achaia,Ανατολική Θράκη,Ανατολική Θράκη,Ανατολική Θράκη,Λακωνία,Με το κόσκινο τραβά νερό,Λακωνία,Λακωνία
94207,Crete,Εύβοια,Αμοργός,Αμοργός,Αιτωλία,Είδες μαύρο; Μήδε γαλανό,Κρήτη,Αρκαδία
103833,Rodos,Αμοργός,Αμοργός,Κρήτη,Κρήτη,Των πρώτων τα πατήματα γεφύρι των δεφτέρων,Λακωνία,Εύβοια
107829,Arcadia,Κάρπαθος,Αρκαδία,Αρκαδία,Πόντος,Κακός εργάτης άσχημα εργαλεία,Θράκη,Αχαΐα
101517,Skyros,Ιωάννινα,Αιτωλία,Αιτωλία,Σκύρος,Ξυπνό π' λί απ' τη μύτ' πιάνεται,Σκύρος,Σκύρος
77108,Kefalinia,Θεσπρωτία,Κεφαλληνία,Αμοργός,Αμοργός,Κακό σέ κείνον σέ κείνον πού λείπει από τό γάμο του,Κεφαλληνία,Λέσβος
27417,Achaia,Αμοργός,Αχαΐα,Αχαΐα,Αμοργός,Αγάπα τον πλησίον σου με τα ελαττώματά του,Θεσπρωτία,Αρκαδία
44394,Crete,Επτάνησος,Νάξος,Επτάνησος,Αμοργός,Χέρι που δεν πάρη τόπος δεν αδειάζει,Επτάνησος,Κρήτη
75499,Heptanese,Κρήτη,Κρήτη,Ιωάννινα,Αιτωλία,"Απού προεστός, κράτης",Κάρπαθος,Κρήτη
26508,Naxos,Νάξος,Νάξος,Λακωνία,Νάξος,Τα ψαρτικά κι' ο νεκρός στ' ανάθεμα,Αμοργός,Νάξος
21821,Thrace,Σκύρος,Σκύρος,Ανατολική Θράκη,Κεφαλληνία,"Εις πολλά έτη, Δέσποτα !",Αμοργός,Σκύρος
100761,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Αν έχεις Μέρα διάβαινε τσαι ρζιζ'κο περπάτειε,Σκύρος,Σκύρος
76480,Karpathos,Κάρπαθος,Κάρπαθος,Κάρπαθος,Αρκαδία,Έκαμε κι' οκνός καλό μια τρύπαν εις το νερό,Κάρπαθος,Ρόδος
9018,Maced.,Μακεδονία,Μακεδονία,Θράκη,Πόντος,"Μ' όποιον παγαίντς, τέτοιος θα γέντς",Μακεδονία,Μακεδονία
84731,Arcadia,Ήπειρος,Αρκαδία,Ρόδος,Αρκαδία,Κάλλια κόμπο στο ζουνάρι πάρα κόμπο στο μαντήλι,Λακωνία,Κρήτη
659,Thrace,Λέσβος,Λέσβος,Λέσβος,Λέσβος,Ακούιτι ένας λόγους,Λέσβος,Λέσβος
39869,East Thrace,Κεφαλληνία,Ανατολική Θράκη,Αχαΐα,Ανατολική Θράκη,"Ούτε πρόβατο χωρίς μαλλί, ούτε νέος χωρίς αγαπητική",Αρκαδία,Ανατολική Θράκη
84068,Evia,Εύβοια,Εύβοια,Εύβοια,Κάρπαθος,Επήγε αχλάδι κι εγύρισε αχλάειδο (γκόρτσο),Λακωνία,Ρόδος
94408,Evia,Αιτωλία,Νάξος,Εύβοια,Αιτωλία,Του Μαρτιού τ' απόι σίδερα κι' αθρώπους κόβγει,Κρήτη,Κρήτη
103959,Ioannina,Ιωάννινα,Ιωάννινα,Ιωάννινα,Μακεδονία,Βαν' κ' η πορδού τον άντρα τ'ς ίσα με τ'ς δώδεκα,Μακεδονία,Θράκη
72687,Asia Minor,Ιωάννινα,Μικρά Ασία,Ανατολική Θράκη,Ιωάννινα,Η αλεπού δέκα χρονού τ' αλεπουδάκι δώδεκα,Μικρά Ασία,Μικρά Ασία
59057,Cyprus,Κύπρος,Κύπρος,Κύπρος,Κύπρος,"Πωρνόσ στησ στράταν, τζ' ενωρίς στο κονατζιν",Κύπρος,Κύπρος
115268,Laconia,Λακωνία,Λακωνία,Λακωνία,Λακωνία,"Χίλια μαύρα, ένα άσπρο",Θράκη,Ανατολική Θράκη
27465,Ioannina,Νάξος,Ιωάννινα,Εύβοια,Ρόδος,Ανάθεμα στο έθιμο και εκείνο που το βρήκε,Θεσπρωτία,Ιωάννινα
94996,Amorgos,Πόντος,Πόντος,Πόντος,Πόντος,Εθαρρείς κι έσκισες το μήλον κ' εποίκες α δύο,Πόντος,Πόντος
115356,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Αλλού τ' όνειρο τσ' αλλού το θάμα,Εύβοια,Σκύρος
31231,Thesprotia,Κρήτη,Κρήτη,Κρήτη,Ρόδος,"Θέλει τρούχισμα και ο νους, σαν που και κάθε σύνεργο",Επτάνησος,Αμοργός
103445,Maced.,Αιτωλία,Μακεδονία,Αιτωλία,Θεσπρωτία,Πιάνω πιρνού ρίζα,Μικρά Ασία,Μακεδονία
17098,Naxos,Αμοργός,Νάξος,Νάξος,Επτάνησος,"Τα μικρά δεν ήθελες τα μεγάλα ΄ύρευγες, τράβα, ΄έρο διάολε",Νάξος,Κάρπαθος
4045,Laconia,Πόντος,Πόντος,Ήπειρος,Αιτωλία,Τη Κουκουλίτ' ο γάμον,Πόντος,Πόντος
34186,Heptanese,Επτάνησος,Επτάνησος,Επτάνησος,Κεφαλληνία,"Οι ρωμιοί δε συμφωνούνε, πάρ' άντας θε να κατουρήσουνε",Επτάνησος,Κεφαλληνία
102085,Karpathos,Αρκαδία,Κάρπαθος,Κεφαλληνία,Αρκαδία,Το ξένε μες στο σπίτι σου για μάρτυρα τεν έχεις,Σκύρος,Κρήτη
52994,Heptanese,Επτάνησος,Επτάνησος,Αχαΐα,Αχαΐα,"Του φαίνεται πως ευτός είναι, κι άλλος δεν είναι",Αχαΐα,Αμοργός
116801,East Thrace,Θεσπρωτία,Ανατολική Θράκη,Κρήτη,Θεσπρωτία,"Ποιος θα παινέση το γαμπρό; Η νύφη, αν είναι και στραβός",Κρήτη,Θεσπρωτία
7368,Rodos,Αμοργός,Ρόδος,Αμοργός,Αμοργός,"Αν ήταν η δουλειά καλή, έκαμέν την κι ο καδής",Ρόδος,Ρόδος
100785,Skyros,Σκύρος,Σκύρος,Σκύρος,Σκύρος,Απάν' τσαί ξαπάνου!,Σκύρος,Σκύρος
